ID; A.X; A.Y; B.X; B.Y; A; L
3058;-455159;-1202397;-454439;-1202067;65;792;
4990;-454439;-1195917;-453809;-1195437;52;792;
6883;-450299;-1202847;-449819;-1203477;142;792;
6903;-452009;-1203447;-451529;-1202817;37;792;
7309;-433229;-1196907;-432599;-1197387;127;792;
3741;-439019;-1202337;-438239;-1202457;98;789;
2067;-454079;-1196007;-453479;-1195497;49;787;
5131;-455039;-1204017;-454799;-1204767;162;787;
5134;-438149;-1204107;-437549;-1204617;130;787;
5480;-435059;-1199157;-434549;-1199757;139;787;
7390;-453809;-1195767;-453209;-1196277;130;787;
8113;-437909;-1196637;-437399;-1197237;139;787;
8588;-451259;-1199397;-451019;-1200147;162;787;
440;-435089;-1199157;-434519;-1199697;133;785;
442;-434999;-1198857;-434459;-1199427;136;785;
1832;-446189;-1199457;-445619;-1198917;46;785;
3214;-445649;-1200717;-445079;-1200177;46;785;
3446;-452429;-1198347;-451859;-1197807;46;785;
4159;-453029;-1196607;-452489;-1197177;136;785;
5332;-443789;-1201317;-443219;-1201857;133;785;
5928;-437909;-1203927;-437339;-1204467;133;785;
6060;-445049;-1202727;-444479;-1203267;133;785;
6131;-443969;-1201437;-443429;-1202007;136;785;
6730;-437909;-1203927;-437339;-1204467;133;785;
6741;-445019;-1203207;-444479;-1203777;136;785;
7470;-443789;-1204587;-443219;-1205127;133;785;
1861;-439079;-1197957;-438299;-1198017;94;782;
2006;-441899;-1197327;-441119;-1197267;85;782;
3387;-445019;-1197747;-444959;-1196967;4;782;
3457;-446189;-1196397;-445409;-1196337;85;782;
4182;-445259;-1196247;-444599;-1195827;57;782;
6001;-436889;-1203357;-436829;-1204137;175;782;
6076;-449489;-1203117;-449429;-1203897;175;782;
6595;-449309;-1195917;-449249;-1196697;175;782;
8156;-447689;-1195197;-447269;-1195857;147;782;
